WD100,Actual,CSE,TRNSYS-Perez,TRNSYS-HayDavies
Annual Average Dry Bulb Temperature Values,10.878719031852953,10.87568729723598,10.875629980466588,10.875629980466588
Annual Average Dry Bulb Temperature Absolute Errors,0,-0.003031734616971704,-0.0030890513863646163,-0.0030890513863646163
Annual Average Relative Humidity Values,49.61473912547095,49.49175633728729,49.61820214867594,49.61820214867594
Annual Average Relative Humidity Absolute Errors,0,-0.1229827881836556,0.003463023204993476,0.003463023204993476
Annual Average Dew Point Temperature Values,-1.0639570727251968,-1.0636468795798972,-1.0660030735008228,-1.0660030735008228
Annual Average Dew Point Temperature Absolute Errors,0,0.0003101931452995643,-0.002046000775626,-0.002046000775626
Annual Average Wind Speed Values,3.916976823838338,3.9262027131699906,3.916566522227191,3.916566522227191
Annual Average Wind Speed Absolute Errors,0,0.009225889331652581,-0.0004103016111471902,-0.0004103016111471902
Annual Average Wind Direction Values,179.2556227879895,179.23720590412861,179.23680146627476,179.23680146627476
Annual Average Wind Direction Absolute Errors,0,-0.018416883860879807,-0.01882132171473927,-0.01882132171473927
Annual Average Station Pressure Values,834.6007535106747,830.1099999997849,834.6011956290806,834.6011956290806
Annual Average Station Pressure Absolute Errors,0,-4.490753510889817,0.00044211840588559426,0.00044211840588559426
Annual Average Total Cloud Cover Values,5.089336682269665,5.088967910592021,5.088965838716122,5.088965838716122
Annual Average Total Cloud Cover Absolute Errors,0,-0.000368771677644375,-0.00037084355354277676,-0.00037084355354277676
Annual Average Opaque Cloud Cover Values,4.3747573923963925,N/A,4.374461324784292,4.374461324784292
Annual Average Opaque Cloud Cover Absolute Errors,0,nan,-0.00029606761210043686,-0.00029606761210043686
Annual Average Total Horizontal Radiation Values,190.68615138714466,189.78375654881927,191.03805102907782,191.06139369210462
Annual Average Total Horizontal Radiation Absolute Errors,0,-0.9023948383253924,0.3518996419331586,0.37524230495995425
Annual Average Diffuse Horizontal Radiation Values,63.5290558282909,43.65420418251844,63.48332211175866,63.506664774785435
Annual Average Diffuse Horizontal Radiation Absolute Errors,0,-19.87485164577246,-0.04573371653224001,-0.022391053505465663
Annual Average Humidity Ratio Values,N/A,0.004970831592780802,0.004925204068888825,0.004925204068888825
Annual Average Wet Bulb Temperature Values,N/A,4.9021571801518595,4.924982296073433,4.924982296073433
Annual Average Sky Temperature Values,N/A,-3.9301967198677183,-5.059176379113305,-5.059176379113305
Annual Average Horizontal Beam Radiation Values,N/A,146.1295527563984,127.55472891731918,127.55472891731918
Annual Average South 90 Total Radiation Values,N/A,131.3642387921266,138.00114194623862,132.16211482579448
Annual Average South 90 Beam Radiation Values,N/A,109.53713810113409,95.80113877492883,95.80113877492883
Annual Average South 90 Diffuse Radiation Values,N/A,21.827100265403715,42.20000317130978,36.360976050865666
Annual Average East 90 Total Radiation Values,N/A,98.25928098052167,102.1334269436245,97.07956469300078
Annual Average East 90 Beam Radiation Values,N/A,76.43218051102426,64.62083890307711,64.62083890307711
Annual Average East 90 Diffuse Radiation Values,N/A,21.827100265403715,37.51258804054737,32.458725789923655
Annual Average North 90 Total Radiation Values,N/A,26.57450772892167,30.898962884587196,26.26063644523893
Annual Average North 90 Beam Radiation Values,N/A,4.747407595683866,3.8681282164234623,3.8681282164234623
Annual Average North 90 Diffuse Radiation Values,N/A,21.827100265403715,27.030834668163727,22.392508228815473
Annual Average West 90 Total Radiation Values,N/A,84.11284814916513,91.4623111929678,85.24981820378486
Annual Average West 90 Beam Radiation Values,N/A,62.28574746348598,54.26234558075434,54.26234558075434
Annual Average West 90 Diffuse Radiation Values,N/A,21.827100265403715,37.199965612213454,30.987472623030527
Annual Average 45 East 90 Total Radiation Values,N/A,128.32706946907206,133.22353811923213,127.85345420332187
Annual Average 45 East 90 Beam Radiation Values,N/A,106.49996756860712,91.66998330777021,91.66998330777021
Annual Average 45 East 90 Diffuse Radiation Values,N/A,21.827100265403715,41.553554811461936,36.183470895551665
Annual Average 45 West 90 Total Radiation Values,N/A,117.23564010918092,125.10451874885082,118.74256765320716
Annual Average 45 West 90 Beam Radiation Values,N/A,95.40853926394321,83.69090434835174,83.69090434835174
Annual Average 45 West 90 Radiation Values,N/A,21.827100265403715,41.4136144004991,35.05166330485544
Annual Average East 30 Total Radiation Values,N/A,180.62129710549334,183.13637202786234,180.63904948804336
Annual Average East 30 Beam Radiation Values,N/A,139.8913703050147,121.01915225208565,121.01915225208565
Annual Average East 30 Diffuse Radiation Values,N/A,40.72992804586555,62.11721977577672,59.61989723595773
Annual Average South 30 Total Radiation Values,N/A,220.1120119029977,225.2025261097433,221.66051701464374
Annual Average South 30 Beam Radiation Values,N/A,179.38208486278802,156.71767933392,156.71767933392
Annual Average South 30 Diffuse Radiation Values,N/A,40.72992804586555,68.48484677582326,64.94283768072373
Annual Average West 30 Total Radiation Values,N/A,168.14510013639608,173.24135152525622,169.7329885554544
Annual Average West 30 Beam Radiation Values,N/A,127.41517224103669,111.37541453467118,111.37541453467118
Annual Average West 30 Diffuse Radiation Values,N/A,40.72992804586555,61.865936990585034,58.35757402078323
Jan Average Dry Bulb Temperature Values,0.8057200538358008,0.7822059674526131,0.7810140584742921,0.7810140584742921
Jan Average Dry Bulb Temperature Absolute Errors,0,-0.02351408638318775,-0.024705995361508748,-0.024705995361508748
Jan Average Relative Humidity Values,46.63526244952894,46.53681856029045,46.681243232142194,46.681243232142194
Jan Average Relative Humidity Absolute Errors,0,-0.09844388923848868,0.04598078261325611,0.04598078261325611
Jan Average Dew Point Temperature Values,-10.437685060565277,-10.45357492270464,-10.4505390948807,-10.4505390948807
Jan Average Dew Point Temperature Absolute Errors,0,-0.015889862139362165,-0.012854034315422425,-0.012854034315422425
Jan Average Wind Speed Values,3.8082099596231496,3.8148781880629272,3.8033848624024493,3.8033848624024493
Jan Average Wind Speed Absolute Errors,0,0.006668228439777657,-0.004825097220700236,-0.004825097220700236
Jan Average Wind Direction Values,181.93808882907132,181.8268584487108,181.70384320973824,181.70384320973824
Jan Average Wind Direction Absolute Errors,0,-0.11123038036052435,-0.2342456193330804,-0.2342456193330804
Jan Average Station Pressure Values,829.9179004037685,830.1100000000658,829.9295395989692,829.9295395989692
Jan Average Station Pressure Absolute Errors,0,0.1920995962973393,0.01163919520070067,0.01163919520070067
Jan Average Total Cloud Cover Values,4.2913862718707945,4.292848501142514,4.287552275867219,4.287552275867219
Jan Average Total Cloud Cover Absolute Errors,0,0.001462229271719906,-0.0038339960035758125,-0.0038339960035758125
Jan Average Opaque Cloud Cover Values,3.3405114401076714,N/A,3.338017157686419,3.338017157686419
Jan Average Opaque Cloud Cover Absolute Errors,0,nan,-0.0024942824212526027,-0.0024942824212526027
Jan Average Total Horizontal Radiation Values,104.4293405114401,102.1491187949726,103.99337058713623,104.03927945875958
Jan Average Total Horizontal Radiation Absolute Errors,0,-2.2802217164675085,-0.43596992430387616,-0.3900610526805224
Jan Average Diffuse Horizontal Radiation Values,30.78869448183042,20.751630285764204,30.70319824281121,30.749107114434562
Jan Average Diffuse Horizontal Radiation Absolute Errors,0,-10.037064196066215,-0.08549623901920711,-0.03958736739585689
Jan Average Humidity Ratio Values,N/A,0.001972640340906037,0.00196911098584003,0.00196911098584003
Jan Average Wet Bulb Temperature Values,N/A,-3.4135382504368827,-3.454050812186891,-3.454050812186891
Jan Average Sky Temperature Values,N/A,-17.725944283858084,-19.503793787950688,-19.503793787950688
Jan Average Horizontal Beam Radiation Values,N/A,81.39748890227162,73.29017234432501,73.29017234432501
Jan Average South 90 Total Radiation Values,N/A,184.77481469651815,189.05242261187772,185.4670568024949
Jan Average South 90 Beam Radiation Values,N/A,174.39899960478508,153.55882488548235,153.55882488548235
Jan Average South 90 Diffuse Radiation Values,N/A,10.375813717220055,35.493597726395365,31.908231917012554
Jan Average East 90 Total Radiation Values,N/A,62.3461389107945,65.64937814445656,61.120181363714835
Jan Average East 90 Beam Radiation Values,N/A,51.97032790536364,44.38922886933869,44.38922886933869
